Costo,Presupuesto,Tiempo invertido,Tipo,Momento,No. de personas
28,0,5,1,0,1
15,0,10,1,0,2
15,0,10,6,0,2
15,0,10,6,0,2
20,50,5,1,1,1
23,350,5,1,0,1
15,0,10,6,0,2
15,0,10,6,0,2
33,327,5,1,0,1
15,0,10,6,0,2
15,0,10,6,0,2
15,0,10,6,0,2
445,500,120,1,2,6
750,1000,20,6,1,1
110,150,20,1,1,2
360,500,140,4,1,2
50,0,5,1,0,1
15,0,10,6,0,2
15,0,10,6,0,2
20,0,5,1,0,1
15,0,10,6,0,2
15,0,10,6,0,2
40,0,10,1,0,3
15,0,10,6,0,2
15,0,10,6,0,2
15,0,10,6,0,2
15,0,10,6,0,2
220,220,5,4,1,1
15,0,10,6,0,2
90,100,20,1,1,2
15,0,10,6,0,2
125,300,20,5,2,1
860,1000,20,6,1,2
150,200,10,1,1,4
15,0,10,6,0,2
15,0,10,6,0,2
28,150,5,1,0,3
440,600,30,1,1,2
15,0,10,6,0,2
15,0,10,6,0,2
38,350,10,1,1,5
350,500,140,1,1,6
15,0,10,6,0,2
15,0,10,6,0,2
15,0,10,6,0,2
28,0,5,1,0,1
15,0,10,6,0,1
15,0,10,6,0,1
15,0,10,6,0,2
150,200,10,4,2,1
15,0,10,6,0,1
15,0,10,6,0,1
15,0,10,6,0,1
28,0,10,1,0,3
15,0,10,6,0,1
15,0,10,6,0,1
15,0,10,6,0,1
15,0,10,6,0,1
15,0,10,6,0,1
15,0,10,6,0,1
15,0,10,6,0,1
1600,1600,10,4,2,1
900,1000,30,4,0,2
15,0,10,6,0,1
15,0,10,6,0,1
15,0,10,6,0,1
15,0,10,6,0,1
590,800,20,5,1,2
15,0,10,6,0,2
120,300,100,4,1,3
15,0,10,6,0,1
15,0,10,6,0,1
90,0,10,1,1,3
15,0,10,6,0,1
90,0,20,1,1,3
15,0,10,6,0,1
15,0,10,6,0,1
30,0,5,1,1,2
15,0,10,6,0,1
210,0,20,5,1,2
15,0,10,6,0,1
15,0,10,6,0,1
15,0,10,6,0,1
60,0,10,1,1,2
15,0,10,6,0,1
15,0,10,6,0,1
400,600,100,4,0,2
15,0,10,6,0,1
28,0,10,1,0,3
15,0,10,6,0,1
15,0,10,6,0,1
15,0,10,6,0,1
15,0,10,6,0,1
15,0,10,6,0,1
15,0,10,6,0,1
25,0,10,1,0,1
15,0,10,6,0,1
15,0,10,6,0,1
15,0,10,6,0,1
300,500,140,4,2,3
15,0,10,6,0,1
30,0,10,1,0,2
15,0,10,6,0,1
15,0,10,6,0,1
15,0,10,6,0,1
15,0,10,6,0,1
15,0,10,6,0,1
15,0,10,6,0,1
15,0,10,6,0,1
15,0,10,6,0,1
15,0,10,6,0,1
500,1000,40,4,1,2
500,700,250,4,1,4
15,0,10,6,0,1
15,0,10,6,0,1
280,400,60,5,1,2
15,0,10,6,0,1
90,100,10,1,1,3
15,0,10,6,0,1
400,600,30,5,1,2
64,100,10,4,0,1
15,0,10,6,0,1
200,250,25,1,2,3
240,300,10,4,1,1
500,600,110,4,1,5
15,0,10,6,0,1
15,0,10,6,0,1
15,0,10,6,0,1
15,0,10,6,0,1
150,300,110,4,2,5
